"delivery_date","hour_ending","qse_name","settlement_point_source","settlement_point_sink","mw","price","offer_id","multi_hour_block_indicator","crr_id","p_posted_date"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","1.7","20.0","143641251_2","N","143641251","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","1.7","20.0","143641291_2","N","143641291","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","1.8","20.0","160016861_2","N","160016861","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","2.4","20.0","177883080_2","N","177883080","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","2.4","20.0","177883108_2","N","177883108","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","3.5","0.0","160016849_1","N","160016849","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","6.2","0.0","177883062_1","N","177883062","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","14.2","0.0","177883138_1","N","177883138","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","14.3","0.0","177883169_1","N","177883169","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","15.0","0.0","129521619_1","N","129521619","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","15.0","0.0","143641251_1","N","143641251","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","15.0","0.0","143641291_1","N","143641291","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","16.2","0.0","160016861_1","N","160016861","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","21.3","0.0","177883080_1","N","177883080","2024-12-01"
"10/02/2024","1","QCPSE1","SWTWN4_WND45","LZ_CPS","21.3","0.0","177883108_1","N","177883108","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","129521617_2","N","129521617","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","143641250_2","N","143641250","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","143641290_2","N","143641290","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","160016862_2","N","160016862","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","177883063_2","N","177883063","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","177883139_2","N","177883139","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.1","20.0","177883170_2","N","177883170","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.6","20.0","177883081_2","N","177883081","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","1.6","20.0","177883109_2","N","177883109","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","129521617_1","N","129521617","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","143641250_1","N","143641250","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","143641290_1","N","143641290","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","160016862_1","N","160016862","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","177883063_1","N","177883063","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","177883139_1","N","177883139","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","9.9","0.0","177883170_1","N","177883170","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","14.8","0.0","177883081_1","N","177883081","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN3_3","LZ_CPS","14.8","0.0","177883109_1","N","177883109","2024-12-01"
